,words,occurrences
0,new,78
1,vtuber,1072
2,one,54
3,days,7
4,sonico,7
5,look,52
6,great,24
7,get,92
8,ta,8
9,watch,52
10,content,20
11,zuko,6
12,originally,3
13,brace,1
14,years,7
15,jaw,1
16,surgery,2
17,fell,1
18,face,11
19,first,48
20,rock,1
21,rollerskates,1
22,vtubernika,2
23,hello,16
24,brother,2
25,milkycross,1
26,another,27
27,english,36
28,forward,13
29,havent,2
30,guess,10
31,yes,15
32,take,30
33,project,5
34,happy,16
35,birthday,8
36,kizuna,14
37,ai,25
38,make,76
39,paint,3
40,job,13
41,hope,28
42,like,147
43,aichannel,4
44,kizunaai,4
45,gtamod,1
46,gta,1
47,kemono,1
48,friends,9
49,consider,2
50,precursor,1
51,boom,5
52,late,3
53,everyone,15
54,realize,4
55,rudimentary,1
56,model,13
57,cute,50
58,anime,17
59,girls,10
60,low,3
61,framerates,1
62,jerky,1
63,motion,8
64,sayumeki,2
65,time,59
66,serval,1
67,good,102
68,become,42
69,vtubers,21
70,finally,14
71,weekend,2
72,nt,100
73,suddenly,2
74,every,17
75,single,7
76,upload,6
77,videos,26
78,even,25
79,worse,1
80,livestreams,4
81,terradrake,4
82,order,7
83,character,39
84,draw,47
85,picture,8
86,harder,2
87,better,13
88,faster,3
89,stronger,1
90,super,5
91,announce,6
92,start,26
93,career,2
94,virtual,69
95,youtuber,86
96,newer,1
97,sensational,1
98,lord,1
99,saviour,1
100,otomachi,1
101,una,1
102,koushif,1
103,thats,4
104,difficult,2
105,love,57
106,magurona,1
107,kfr,1
108,goodjob,1
109,sensei,2
110,beautiful,9
111,wait,25
112,turn,4
113,gon,9
114,na,34
115,ive,1
116,never,14
117,felt,2
118,alive,2
119,btw,5
120,karte,3
121,im,15
122,also,41
123,mysterious,1
124,pleasant,1
125,god,14
126,glad,8
127,see,48
128,heart,6
129,fuck,11
130,pass,4
131,girl,28
132,queen,2
133,idol,11
134,please,33
135,gorgeous,2
136,much,36
137,gt,29
138,varchar,1
139,mashirovtuber,101
140,provocative,1
141,beat,3
142,saber,1
143,ll,26
144,master,3
145,cyber,2
146,siro,9
147,via,13
148,youtube,87
149,dogen,1
150,opinion,2
151,phenomenon,2
152,kobuclub,1
153,many,14
154,hard,9
155,recommend,5
156,yukimi,1
157,oneechan,1
158,nice,22
159,funny,6
160,lately,4
161,otonashi,1
162,rhythm,1
163,nonjapanese,2
164,multilingual,2
165,killstepvtuber,1
166,killrin,1
167,kuou,1
168,roger,2
169,want,46
170,dubstepvtuber,1
171,almost,3
172,do,10
173,need,18
174,add,13
175,shade,1
176,highlight,2
177,voila,1
178,anyways,1
179,next,27
180,list,5
181,self,3
182,attempt,4
183,ever,27
184,well,22
185,gradually,2
186,windowsos,1
187,wear,2
188,vr,30
189,device,1
190,instead,8
191,tap,2
192,power,5
193,button,2
194,pc,3
195,come,30
196,welcome,16
197,back,20
198,vocanpyoshi,1
199,stream,33
200,guy,16
201,man,14
202,tech,3
203,would,43
204,totally,4
205,whole,6
206,bandwagon,2
207,mascot,1
208,kizunavtuber,2
209,fight,8
210,pinokovtuber,9
211,tt,2
212,bismuthuupa,1
213,blockwonkel,1
214,part,8
215,group,7
216,tokyo,6
217,internet,3
218,stuff,23
219,thing,19
220,market,10
221,wafanic,1
222,tbh,5
223,best,23
224,suit,2
225,cast,3
226,lol,16
227,otomebunny,1
228,pick,4
229,bbvtuber,12
230,hug,10
231,hacka,3
232,channel,43
233,video,83
234,feat,1
235,go,48
236,nanamin,1
237,collab,4
238,kaguya,6
239,luna,12
240,still,27
241,alpha,14
242,lexa,14
243,game,45
244,vs,14
245,combo,14
246,panda,13
247,let,30
248,play,50
249,gang,15
250,beasts,12
251,aichan,5
252,dab,2
253,party,1
254,favorite,32
255,meryl,1
256,curry,1
257,cc,4
258,inku,2
259,cookievtuberit,1
260,fun,20
261,day,21
262,cookie,3
263,cross,2
264,border,1
265,toho,2
266,kyara,1
267,revolution,4
268,really,40
269,lot,31
270,drama,1
271,bbmad,1
272,china,2
273,work,25
274,chinese,9
275,cookiewiki,1
276,soon,11
277,enter,15
278,stage,5
279,akanevtuber,31
280,wish,12
281,luck,13
282,earlier,1
283,keep,21
284,stop,8
285,subscribers,6
286,congratulations,17
287,talk,34
288,satoshi,1
289,kon,2
290,film,1
291,cool,14
292,chuuni,1
293,actually,11
294,voice,21
295,think,56
296,case,4
297,kyoani,1
298,syndrome,1
299,strike,1
300,wild,1
301,desire,2
302,spread,1
303,woman,1
304,wolf,1
305,ready,8
306,bite,5
307,everything,4
308,claw,1
309,range,1
310,hooniefriends,2
311,something,8
312,stucking,1
313,head,4
314,cuz,1
315,celebrate,1
316,re,29
317,follow,39
318,akari,8
319,mirai,7
320,yuni,2
321,yunivsinger,2
322,seikan,1
323,hikou,1
324,subtitle,13
325,vtuberen,5
326,vsinger,2
327,macrossf,1
328,rankalee,1
329,meguminakajima,1
330,yokokanno,1
331,seikanhikou,1
332,neko,1
333,mimi,1
334,modedimitri,1
335,paris,1
336,vtubercatlaxy,2
337,key,5
338,lifeshiggy,1
339,jr,1
340,vtuberhds,1
341,seventhheavensasakure,1
342,uk,1
343,yuichansakura,1
344,mxvirtual,2
345,buzz,2
346,revolverunit,1
347,kill,10
348,radio,1
349,star,6
350,top,5
351,june,1
352,fairys,10
353,chan,5
354,fairyschan,1
355,igusa,1
356,hanakoto,2
357,overidea,4
358,cierra,3
359,cierrarunis,2
360,wni,1
361,japan,16
362,typea,2
363,airi,2
364,typeaairi,2
365,sakura,3
366,fujima,2
367,fujimasakura,3
368,virtualyoutuber,17
369,vtubericotsu,15
370,makeagames,1
371,wo,4
372,know,42
373,jack,1
374,highly,1
375,dangerous,3
376,deep,6
377,web,4
378,underground,4
379,introduction,5
380,translation,8
381,ren,3
382,proofread,1
383,inodiated,4
384,vdwu,1
385,tituscrow,5
386,kannetobitsuki,2
387,vtuberarika,2
388,thank,97
389,interest,20
390,bring,12
391,note,3
392,hey,9
393,crow,1
394,bro,3
395,japanese,60
396,ms,1
397,speak,13
398,easily,1
399,others,4
400,check,16
401,karenvtuber,1
402,kiarosirogumi,1
403,swamp,1
404,try,23
405,saruei,108
406,twitter,19
407,vtubersetuna,15
408,community,13
409,member,2
410,runis,1
411,plan,6
412,post,11
413,later,2
414,cup,3
415,coffee,1
416,announcement,4
417,big,14
418,vtuberkotaro,17
419,oh,39
420,nagamomkai,2
421,htat,1
422,shizurup,1
423,ok,17
424,fotm,1
425,niche,2
426,news,6
427,dumb,2
428,etc,2
429,else,3
430,year,9
431,dictatorvtuber,1
432,kaguyaluna,5
433,kuudere,2
434,archetype,1
435,wakabatandesu,5
436,hail,1
437,princess,2
438,pure,1
439,platinum,1
440,bayonetta,1
441,vtubercoinfan,2
442,dear,3
443,yukivtuber,2
444,present,2
445,vtubercoin,1
446,hour,3
447,restart,1
448,dark,2
449,souls,1
450,black,4
451,knight,1
452,halberd,1
453,drop,2
454,carro,1
455,pino,1
456,quick,4
457,match,1
458,idolbu,1
459,sub,10
460,wonderful,2
461,night,19
462,warframevtuber,1
463,sponsor,2
464,gacha,1
465,vids,5
466,tell,11
467,sweet,2
468,little,14
469,lie,2
470,kaede,3
471,higuchi,2
472,freshest,1
473,takasakivtuber,8
474,finite,1
475,caliburne,1
476,story,3
477,legendary,1
478,sword,1
479,rockvtuber,1
480,gree,1
481,sleppuccino,1
482,rig,3
483,ur,5
484,beleth,1
485,sculpt,1
486,use,42
487,reach,5
488,peak,1
489,status,1
490,srippip,1
491,world,26
492,card,5
493,comd,3
494,colleague,1
495,shirosan,1
496,show,11
497,support,15
498,stand,4
499,pretty,6
500,celebrity,1
501,side,1
502,since,16
503,slight,2
504,difference,2
505,punk,1
506,ass,2
507,newcomers,1
508,foundations,1
509,awesome,3
510,bee,1
511,xoxo,1
512,rokudomei,1
513,debut,9
514,shiro,5
515,admire,1
516,greater,1
517,subscriber,1
518,vtubere,1
519,influense,1
520,ordinary,2
521,mae,1
522,amaze,13
523,consolidation,1
524,kerinvtuber,4
525,quake,1
526,champion,1
527,vtubervsa,1
528,ca,25
529,us,8
530,ff,2
531,sakata,2
532,quality,8
533,fckin,1
534,hiritsua,1
535,culture,6
536,call,18
537,name,24
538,natori,1
539,sana,5
540,nekomasu,2
541,jackie,1
542,lp,1
543,give,18
544,answer,4
545,emergency,1
546,perfectly,1
547,completely,2
548,wsweets,2
549,totokidesu,2
550,nekovtuber,14
551,demicolon,1
552,fine,1
553,offer,1
554,help,15
555,way,26
556,karaoke,3
557,send,5
558,invite,4
559,translator,4
560,discord,9
561,server,7
