,words,occurrences
0,vtuber,37482
1,debut,845
2,love,2113
3,colonel,2
4,sanders,2
5,say,1561
6,mostly,167
7,great,765
8,reflection,8
9,current,88
10,interest,588
11,ytp,3
12,videogames,33
13,vaporwave,5
14,trash,35
15,jenkitsune,40
16,yup,24
17,cute,1484
18,philippines,16
19,lonemagi,1
20,honestly,200
21,scp,18
22,become,1924
23,would,1760
24,instasub,1
25,churaghost,1
26,wiiinter,1
27,grievingdoll,8
28,vtuberstormy,654
29,yeah,619
30,hour,284
31,minutes,296
32,ll,1731
33,try,1573
34,get,4714
35,true,211
36,pacifist,5
37,end,516
38,undertale,38
39,come,2010
40,join,1108
41,stuff,907
42,envtuber,3010
43,univirtuals,1960
44,reviewguyshyguy,1
45,gutsthebadass,1
46,minuteman,1
47,dlarencej,1
48,gaigous,1
49,crimsonkagura,1
50,theanimeg,1
51,at,3
52,asliceofcomics,1
53,notice,154
54,kinda,412
55,odd,26
56,one,2614
57,account,308
58,focus,101
59,mainly,87
60,vtubers,1303
61,days,312
62,shy,75
63,guy,843
64,cool,460
65,people,1732
66,believe,257
67,nt,4650
68,mind,231
69,post,705
70,really,2055
71,always,722
72,happy,1096
73,find,1019
74,new,2161
75,mutuals,44
76,anime,1127
77,loooool,2
78,nice,1140
79,blunz,34
80,pneuma,1
81,tho,308
82,straight,60
83,look,1818
84,like,4935
85,yep,55
86,sure,696
87,heck,66
88,comfy,213
89,stream,6093
90,since,705
91,idk,270
92,doin,15
93,today,1530
94,maybe,842
95,chat,774
96,play,3047
97,doki,49
98,blue,122
99,sky,40
100,amnesia,40
101,later,311
102,vtuberowo,1
103,never,668
104,niotaoutsider,5
105,way,703
106,us,610
107,friends,909
108,ta,221
109,stick,142
110,together,325
111,sorry,589
112,yesterday,183
113,internet,168
114,die,272
115,give,802
116,promise,86
117,back,938
118,minecraft,492
119,least,292
120,ca,859
121,still,1203
122,see,2533
123,fanart,395
124,idia,1
125,babiniku,1
126,ye,22
127,stomy,1
128,hide,70
129,yourslef,1
130,lewd,192
131,nature,18
132,embrace,20
133,vtuberomoki,1318
134,eldrich,2
135,boy,151
136,go,3376
137,gold,36
138,kswaraa,24
139,cutie,94
140,shitpostbotmin,1
141,oh,1113
142,lol,1044
143,train,88
144,well,1340
145,lulusuzuhara,2
146,amp,597
147,vids,77
148,lulusama,1
149,keep,695
150,good,2959
151,work,1418
152,live,2409
153,prosper,1
154,forever,72
155,favorite,698
156,youtuber,371
157,xoxo,4
158,wow,258
159,re,1652
160,watch,2763
161,shame,36
162,link,285
163,funny,365
164,clip,727
165,swear,102
166,word,307
167,discord,626
168,full,299
169,americans,4
170,seabros,1
171,english,1334
172,robowaifu,10
173,hunt,75
174,diamonds,6
175,pokobuns,1
176,mean,757
177,basically,148
178,describe,22
179,valkyria,6
180,chronicle,18
181,ve,1363
182,do,471
183,recently,230
184,definitely,230
185,qualify,19
186,besides,45
187,even,1198
188,proper,70
189,wan,753
190,na,1874
191,silvio,9
192,hyrulian,1
193,chicken,42
194,sweaty,6
195,vtubergetting,6
196,bros,32
197,need,1238
198,resist,19
199,finish,406
200,duck,17
201,tales,11
202,mmd,127
203,hololive,1107
204,letter,26
205,song,480
206,minato,55
207,aqua,178
208,via,272
209,youtube,1734
210,tribute,6
211,noorvtuber,2567
212,noor,333
213,san,35
214,congratulations,300
215,chip,56
216,twitch,1960
217,let,1560
218,fun,1428
219,game,2937
220,make,3730
221,wonderful,203
222,memories,30
223,vstreamer,1559
224,best,1044
225,waifu,150
226,read,402
227,vagabond,2
228,manga,128
229,ch,34
230,hang,251
231,along,154
232,away,190
233,follower,36
234,goal,167
235,thank,2974
236,everyone,1291
237,follow,987
238,far,289
239,journey,93
240,amaze,641
241,catgirl,44
242,goalsgoalsgoals,1
243,grow,238
244,regret,59
245,channel,1255
246,reward,29
247,whatsoever,6
248,frankly,5
249,think,2509
250,vtubing,139
251,neat,38
252,theres,89
253,load,27
254,talented,54
255,personalities,14
256,honor,42
257,streamingcontent,1
258,form,114
259,also,1806
260,draw,1141
261,jaxchan,3
262,feh,11
263,thumbnails,15
264,stop,492
265,lurk,62
266,answer,155
267,art,1260
268,question,281
269,em,78
270,artstream,55
271,livedrawing,8
272,first,1529
273,day,1368
274,job,224
275,fbc,1
276,totally,158
277,foundation,3
278,nope,33
279,relate,125
280,playthrough,117
281,control,45
282,start,1693
283,quick,106
284,model,992
285,cutwrlght,1
286,want,2526
287,huehue,7
288,jk,44
289,pose,56
290,relax,111
291,hope,1521
292,there,21
293,joelkaradsheh,58
294,shall,66
295,allow,110
296,fall,394
297,clutch,4
298,evil,89
299,lack,35
300,sleep,561
301,clan,4
302,must,192
303,fight,244
304,villian,3
305,world,582
306,insomnia,5
307,might,577
308,lil,76
309,carry,39
310,take,1085
311,armor,15
312,little,590
313,bite,538
314,less,164
315,horny,68
316,fix,125
317,physics,24
318,ready,287
