,words,occurrences
0,sovietscotsman,7
1,think,611
2,popular,88
3,vtuber,7478
4,like,1222
5,luna,40
6,akanevtuber,67
7,good,860
8,morning,317
9,akane,49
10,hope,386
11,enjoy,158
12,new,450
13,year,159
14,eve,14
15,tonight,93
16,second,63
17,decide,71
18,follow,169
19,skrmnana,2
20,voice,176
21,impressions,4
22,delightful,1
23,see,639
24,third,25
25,one,652
26,picassoiriam,2
27,although,24
28,ca,240
29,nt,1287
30,stream,932
31,live,604
32,clue,5
33,spread,20
34,brazil,1
35,saw,65
36,videos,194
37,enthusiastic,2
38,fun,308
39,tmgnrei,7
40,find,223
41,extremely,18
42,adorable,68
43,reveal,27
44,play,597
45,puyo,4
46,tetris,18
47,defirring,1
48,always,255
49,put,100
50,message,26
51,end,121
52,reactivate,1
53,twitter,147
54,call,132
55,orefura,4
56,plead,1
57,help,173
58,certain,27
59,girl,179
60,name,210
61,event,81
62,pass,21
63,still,276
64,snowman,4
65,anime,336
66,cute,409
67,yuyukyonshi,54
68,vtubermoe,3040
69,danger,1
70,wear,33
71,skirt,6
72,fly,12
73,reverse,4
74,everything,83
75,star,56
76,war,21
77,reflections,1
78,ray,18
79,trace,2
80,demo,17
81,rtxti,1
82,sli,1
83,ix,1
84,nice,396
85,upload,61
86,koshivtuber,3
87,youtube,481
88,run,72
89,test,42
90,game,666
91,intend,12
92,univirtuals,211
93,halftruth,1
94,leahleahvtuber,3
95,luck,67
96,re,398
97,favorite,145
98,jadeumboi,15
99,mikucatvtuber,2415
100,puuuurrrrfection,1
101,close,59
102,oops,6
103,wwww,11
104,let,255
105,together,82
106,covfefechan,141
107,maybe,216
108,thank,919
109,everyone,229
110,come,356
111,debut,108
112,issue,40
113,begin,45
114,eniwatori,118
115,kinda,75
116,fix,27
117,also,457
118,huge,37
119,shadicnion,20
120,donation,10
121,try,342
122,best,279
123,improve,13
124,make,884
125,happy,339
126,fang,9
127,envtuber,34
128,comdostart,334
129,baby,40
130,get,1092
131,rid,10
132,fireworks,11
133,agree,29
134,sister,55
135,reason,81
136,quite,57
137,skeptical,2
138,akiyusav,12
139,kind,99
140,rewind,3
141,ffefe,1
142,look,538
143,soul,19
144,yes,184
145,really,546
146,pure,22
147,face,63
148,yeah,225
149,know,632
150,secrets,4
151,degeneracy,1
152,turn,75
153,impure,2
154,bully,17
155,never,179
156,someone,145
157,watch,447
158,serbian,1
159,film,12
160,take,297
161,nap,6
162,nevermindo,4
163,holiday,25
164,break,80
165,do,113
166,pick,27
167,codevein,20
168,kyrieai,83
169,vstreamer,162
170,erp,17
171,purrfect,2
172,raettchenn,1
173,cringe,3
174,assholes,3
175,become,334
176,niwatori,2
177,niiiiiiiiiiiiiiiiiiiiiiiiiiice,1
178,days,88
179,cenkpesos,1
180,friend,116
181,aware,9
182,country,20
183,virtual,324
184,girls,84
185,well,398
186,bad,139
187,another,164
188,chilean,5
189,hanachi,2
190,autistic,1
191,unbearable,1
192,sjw,3
193,support,189
194,communist,3
195,protest,1
196,model,241
197,chat,99
198,part,149
199,relay,2
200,midoriyuki,3
201,twitch,518
202,zentreya,39
203,dec,6
204,st,51
205,pm,132
206,cst,34
207,utc,3
208,go,712
209,bb,3
210,sbtitles,1
211,english,426
212,chiko,1
213,momoa,1
214,subtitle,71
215,please,250
216,check,209
217,vchuugakkou,1
218,japanesevtuber,1
219,thatbugfromyt,1
220,tbh,29
221,fuck,131
222,sm,8
223,community,181
224,join,169
225,less,28
226,hectic,1
227,supportive,6
228,hello,270
229,cronch,4
230,report,30
231,latest,29
232,news,43
233,shizurin,6
234,currently,25
235,cronching,1
236,minecraft,98
237,actuallydolphy,2
238,oshi,5
239,mark,16
240,actually,166
241,reflect,1
242,total,12
243,subscriptions,4
244,japanese,390
245,channel,560
246,post,326
247,asmr,394
248,audio,170
249,subscribe,238
250,maya,9
251,putri,4
252,local,11
253,distribute,3
254,layer,4
255,file,15
256,free,113
257,link,102
258,mayaputriid,7
259,halomaya,1
260,mayaputrifanart,1
261,ladychess,1
262,hell,57
263,day,293
264,point,77
265,maso,2
266,kitten,4
267,xd,168
268,guess,113
269,thing,201
270,kappa,1
271,ah,58
272,cat,244
273,culture,43
274,draw,380
275,oo,16
276,handcam,1
277,enable,6
278,followthon,10
279,misteryohta,49
280,least,88
281,forget,81
282,set,57
283,limit,34
284,say,414
285,light,32
286,novel,13
287,weeaaboo,1
288,lub,1
289,saruei,913
290,question,76
291,glass,17
292,exphiser,1
293,natsuiromatsuri,6
294,spirit,9
295,nasaniliu,3
296,radiokeg,3
297,jdotkdot,13
298,exchange,5
299,meet,141
300,next,159
301,comiket,7
302,coronavtuber,3
303,reality,25
304,asmrapexlegends,4
305,shoot,31
306,sound,113
307,wingman,8
308,apexlegends,9
309,season,21
310,origin,4
311,papicovtuber,2
312,tosi,1
313,crazy,34
314,scottalove,4
315,want,555
316,miku,139
317,advantage,3
318,though,189
319,explore,6
320,kyushu,1
321,first,401
322,time,707
323,life,141
324,eat,77
325,change,96
326,ramen,6
327,oshiadded,1
328,lot,279
329,throughout,4
330,manage,24
331,complete,27
332,aikatsu,4
333,marathon,3
334,deep,24
335,shinymas,1
336,exposure,4
337,would,459
338,easier,12
339,abuse,12
340,yesterday,38
341,guy,201
342,comic,9
343,market,13
344,elitesalter,1
345,riasxmedaka,1
346,commy,98
347,combine,6
348,zerotwo,1
349,hour,45
350,headpats,8
351,deserve,40
